STUSAB,GEOID,GEOCODE,state,county,tract,total_population_2020,incarcerated_2020
TX,1400000US48029181602,48029181602,48,29,181602,5639,0
TX,1400000US48029181703,48029181703,48,29,181703,7034,0
TX,1400000US48029181704,48029181704,48,29,181704,5904,0
TX,1400000US48029181705,48029181705,48,29,181705,6736,0
TX,1400000US48029181711,48029181711,48,29,181711,8400,0
TX,1400000US48029181712,48029181712,48,29,181712,3635,0
TX,1400000US48029181713,48029181713,48,29,181713,7155,0
TX,1400000US48029181715,48029181715,48,29,181715,5958,0
TX,1400000US48029181716,48029181716,48,29,181716,7167,0
TX,1400000US48029181718,48029181718,48,29,181718,5023,0
TX,1400000US48029181720,48029181720,48,29,181720,4324,0
TX,1400000US48029181721,48029181721,48,29,181721,3211,0
TX,1400000US48029181722,48029181722,48,29,181722,4707,0
