ELECTION DATE-NAME,OFFICE NAME,CANDIDATE NAME,COUNTY NAME,TOTAL VOTES PER OFFICE PER COUNTY
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",BAILEY,14
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,BAILEY,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,BAILEY,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,BAILEY,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,BAILEY,"1,434"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,BAILEY,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,BANDERA,"2,505"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,BANDERA,3
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,BANDERA,30
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",BANDERA,120
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,BANDERA,"10,057"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,BANDERA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,BASTROP,"15,474"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,BASTROP,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,BASTROP,6
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,BASTROP,2
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,BASTROP,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,BASTROP,128
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,BASTROP,2
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",BASTROP,531
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,BASTROP,4
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,BASTROP,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,BASTROP,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,BASTROP,"20,516"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,BASTROP,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,BAYLOR,183
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,BAYLOR,2
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,BAYLOR,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",BAYLOR,22
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,BAYLOR,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,BAYLOR,"1,494"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,BAYLOR,0
